0 1 2
0 4 2
0 6 1
0 13 1
0 23 1
0 1 1
0 4 1
0 6 2
0 13 1
0 23 1
0 27 1
0 34 2
0 45 1
0 55 1
0 74 1
0 75 1
0 78 1
0 98 1
0 191 2
0 207 1
0 244 1
0 379 1
0 527 1
0 647 1
0 697 1
0 698 0
0 719 2
0 735 2
0 946 1
0 1056 1
0 3585 1
1 0 3
1 1 2
1 2 2
1 3 2
1 4 1
1 6 4
1 11 1
1 12 2
1 13 1
1 15 1
1 19 1
1 21 1
1 27 1
1 38 1
1 51 1
1 81 1
1 142 1
1 148 1
1 188 1
1 216 1
1 251 1
1 295 1
1 407 1
1 468 2
1 478 2
1 515 1
1 539 1
1 673 1
1 698 1
1 772 2
1 790 2
1 1033 1
1 1326 1
1 1435 1
1 1600 1
1 1842 1
1 2088 1
2 1 1
2 4 1
2 6 7
2 9 8
2 12 4
2 16 3
2 17 2
2 19 1
2 26 1
2 35 3
2 37 2
2 41 5
2 47 2
2 52 1
2 57 1
2 77 3
2 86 1
2 91 1
2 93 2
2 98 2
2 104 3
2 112 4
2 126 1
2 143 5
2 146 4
2 172 1
2 193 3
2 194 2
2 207 1
2 227 1
2 236 1
2 253 1
2 272 1
2 276 5
2 288 1
2 300 1
2 310 1
2 317 1
2 328 1
2 336 1
2 337 2
2 345 3
2 346 1
2 347 1
2 350 4
2 362 2
2 366 1
2 380 1
2 387 1
2 388 9
2 389 1
2 399 2
2 448 2
2 469 3
2 478 1
2 479 4
2 515 1
2 539 1
2 540 1
2 568 1
2 580 1
2 589 3
2 648 6
2 674 1
2 675 1
2 697 1
2 719 1
2 834 1
2 850 1
2 851 1
2 885 6
2 886 1
2 911 1
2 912 2
2 913 3
2 946 2
2 1057 10
2 1058 1
2 1059 1
2 1154 1
2 1207 1
2 1208 1
2 1285 2
2 1286 1
2 1327 1
2 1328 1
2 1329 1
2 1385 1
2 1436 1
2 1503 3
2 1601 1
2 1602 1
2 1603 1
2 1843 6
2 1965 1
2 2089 1
2 2204 1
2 2673 1
2 2674 1
2 2891 2
2 2892 1
2 3586 1
2 3587 2
2 3588 1
2 4153 4
2 4154 1
3 1 1
3 8 1
3 34 1
3 42 1
3 50 1
3 54 1
3 67 1
3 100 1
3 210 1
3 218 2
4 1 2
4 3 12
4 4 1
4 5 6
4 8 9
4 9 3
4 11 1
4 18 1
4 24 1
4 28 1
4 43 5
4 56 1
4 63 2
4 64 3
4 80 2
4 94 3
4 101 4
4 163 1
4 175 1
4 180 3
4 204 1
4 219 1
4 221 1
4 237 1
4 267 2
4 273 3
4 283 3
4 292 1
4 329 1
4 375 1
4 497 1
4 505 1
4 618 1
4 627 1
4 659 1
4 736 1
4 791 1
4 867 1
4 1504 1
4 1604 1
4 3203 1
4 3589 1
5 1 1
5 3 6
5 8 8
5 9 3
5 43 4
5 63 1
5 64 3
5 94 3
5 101 3
5 180 3
5 204 1
5 273 3
5 283 3
6 1 1
6 21 1
6 24 1
6 38 1
6 51 1
6 61 1
6 109 1
6 122 1
6 158 1
6 188 1
6 203 1
6 277 1
6 355 0
6 462 2
6 527 1
6 590 1
6 591 1
6 628 1
6 629 1
6 660 3
6 752 1
6 868 1
6 1000 1
6 1330 1
6 1966 1
6 1967 1
6 2893 1
6 3204 1
6 3585 1
6 3590 1
6 4155 1
6 4156 1
7 1 1
7 3 18
7 4 3
7 5 1
7 9 5
7 17 1
7 22 10
7 23 2
7 27 1
7 44 1
7 56 3
7 58 19
7 66 1
7 78 1
7 79 1
7 80 1
7 82 3
7 91 1
7 92 12
7 99 10
7 105 4
7 110 2
7 122 1
7 127 2
7 142 7
7 148 8
7 149 3
7 151 3
7 156 1
7 159 5
7 184 6
7 205 3
7 208 1
7 211 2
7 228 5
7 234 1
7 245 2
7 253 1
7 262 3
7 278 2
7 288 1
7 293 2
7 301 1
7 338 1
7 356 1
7 357 1
7 363 2
7 381 2
7 390 11
7 391 2
7 400 1
7 470 1
7 480 1
7 498 1
7 506 3
7 541 3
7 559 1
7 569 1
7 581 1
7 592 2
7 593 1
7 604 1
7 619 4
7 620 1
7 621 2
7 630 1
7 649 1
7 661 3
7 662 2
7 676 1
7 699 1
7 737 1
7 773 1
7 774 1
7 792 2
7 852 1
7 869 2
7 914 5
7 947 1
7 968 1
7 1001 2
7 1002 2
7 1034 1
7 1060 1
7 1061 8
7 1092 1
7 1120 2
7 1155 3
7 1156 6
7 1249 1
7 1250 7
7 1331 1
7 1386 1
7 1387 2
7 1388 1
7 1389 1
7 1390 1
7 1505 2
7 1506 1
7 1507 3
7 1605 1
7 1606 1
7 1607 1
7 1716 2
7 1968 2
7 1969 1
7 1970 1
7 2090 1
7 2091 2
7 2092 1
7 2205 1
7 2206 1
7 2207 1
7 2340 1
7 2496 2
7 2497 1
7 2498 1
7 2675 1
7 2676 2
7 2677 1
7 2894 1
7 2895 1
7 2896 2
7 2897 1
7 3205 2
7 3591 1
7 3592 1
7 3593 2
7 3594 2
7 3595 1
7 4157 1
7 4158 2
7 4159 2
7 4160 2
7 4161 1
7 4162 2
8 0 8
8 1 3
8 2 5
8 3 4
8 4 2
8 5 0
8 9 1
8 11 2
8 13 1
8 14 1
8 17 1
8 19 2
8 48 1
8 52 1
8 71 1
8 74 1
8 79 1
8 80 2
8 91 1
